id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|rolling_observed|2026-06-01|per_term|24,30,native,rolling_observed,2026-06-01,per_term,24,observed_seller_data,16,16,1,False
30|native|rolling_observed|2026-06-02|pooled|all,30,native,rolling_observed,2026-06-02,pooled,all,observed_seller_data,51,17,3,False
30|native|rolling_observed|2026-06-02|per_term|6,30,native,rolling_observed,2026-06-02,per_term,6,observed_seller_data,17,17,1,False
30|native|rolling_observed|2026-06-02|per_term|12,30,native,rolling_observed,2026-06-02,per_term,12,observed_seller_data,17,17,1,False
30|native|rolling_observed|2026-06-02|per_term|24,30,native,rolling_observed,2026-06-02,per_term,24,observed_seller_data,17,17,1,False
30|native|rolling_observed|2026-06-03|pooled|all,30,native,rolling_observed,2026-06-03,pooled,all,observed_seller_data,54,18,3,False
30|native|rolling_observed|2026-06-03|per_term|6,30,native,rolling_observed,2026-06-03,per_term,6,observed_seller_data,18,18,1,False
30|native|rolling_observed|2026-06-03|per_term|12,30,native,rolling_observed,2026-06-03,per_term,12,observed_seller_data,18,18,1,False
30|native|rolling_observed|2026-06-03|per_term|24,30,native,rolling_observed,2026-06-03,per_term,24,observed_seller_data,18,18,1,False
30|native|rolling_observed|2026-06-04|pooled|all,30,native,rolling_observed,2026-06-04,pooled,all,observed_seller_data,57,19,3,False
30|native|rolling_observed|2026-06-04|per_term|6,30,native,rolling_observed,2026-06-04,per_term,6,observed_seller_data,19,19,1,False
30|native|rolling_observed|2026-06-04|per_term|12,30,native,rolling_observed,2026-06-04,per_term,12,observed_seller_data,19,19,1,False
30|native|rolling_observed|2026-06-04|per_term|24,30,native,rolling_observed,2026-06-04,per_term,24,observed_seller_data,19,19,1,False
30|native|rolling_observed|2026-06-05|pooled|all,30,native,rolling_observed,2026-06-05,pooled,all,observed_seller_data,60,20,3,True
30|native|rolling_observed|2026-06-05|per_term|6,30,native,rolling_observed,2026-06-05,per_term,6,observed_seller_data,20,20,1,True
30|native|rolling_observed|2026-06-05|per_term|12,30,native,rolling_observed,2026-06-05,per_term,12,observed_seller_data,20,20,1,True
30|native|rolling_observed|2026-06-05|per_term|24,30,native,rolling_observed,2026-06-05,per_term,24,observed_seller_data,20,20,1,True
30|native|rolling_observed|2026-06-06|pooled|all,30,native,rolling_observed,2026-06-06,pooled,all,observed_seller_data,63,21,3,True
30|native|rolling_observed|2026-06-06|per_term|6,30,native,rolling_observed,2026-06-06,per_term,6,observed_seller_data,21,21,1,True
30|native|rolling_observed|2026-06-06|per_term|12,30,native,rolling_observed,2026-06-06,per_term,12,observed_seller_data,21,21,1,True
30|native|rolling_observed|2026-06-06|per_term|24,30,native,rolling_observed,2026-06-06,per_term,24,observed_seller_data,21,21,1,True
30|native|rolling_observed|2026-06-07|pooled|all,30,native,rolling_observed,2026-06-07,pooled,all,observed_seller_data,66,22,3,True
30|native|rolling_observed|2026-06-07|per_term|6,30,native,rolling_observed,2026-06-07,per_term,6,observed_seller_data,22,22,1,True
