panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,45,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,7,114,50,50,0,50,50,0,0,5,5,1.0,1.0,0.43859649122807015
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,14,114,15,15,0,15,15,0,0,4,4,1.0,1.0,0.13157894736842105
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,30,114,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,45,114,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,60,103,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,6,canonical_calculation,7,41,22,22,0,22,22,0,0,1,1,1.0,1.0,0.5365853658536586
same_id,Keravan Energia Oy,6,canonical_calculation,14,34,15,15,0,15,15,0,0,1,1,1.0,1.0,0.4411764705882353
same_id,Keravan Energia Oy,6,canonical_calculation,30,18,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,6,canonical_calculation,45,4,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,6,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,6,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,6,observed_seller_data,7,110,58,58,0,58,58,0,0,3,3,1.0,1.0,0.5272727272727272
