status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,2000,,fixed_term_6,54,2026-02-13,2026-04-07,"{""null"": 54}"
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,5000,,fixed_term_6,54,2026-02-13,2026-04-07,"{""null"": 54}"
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,18000,,fixed_term_6,54,2026-02-13,2026-04-07,"{""null"": 54}"
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,8,2026-07-01,2026-07-08,"{""null"": 8}"
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,8,2026-07-01,2026-07-08,"{""null"": 8}"
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,8,2026-07-01,2026-07-08,"{""null"": 8}"
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,19,2026-04-03,2026-04-21,"{""null"": 19}"
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,19,2026-04-03,2026-04-21,"{""null"": 19}"
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,19,2026-04-03,2026-04-21,"{""null"": 19}"
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,2000,,fixed_term_6,46,2026-03-20,2026-05-04,"{""null"": 46}"
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,5000,,fixed_term_6,46,2026-03-20,2026-05-04,"{""null"": 46}"
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,18000,,fixed_term_6,46,2026-03-20,2026-05-04,"{""null"": 46}"
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,7,2026-03-04,2026-03-10,"{""null"": 7}"
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,7,2026-03-04,2026-03-10,"{""null"": 7}"
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,7,2026-03-04,2026-03-10,"{""null"": 7}"
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,5,2026-02-11,2026-02-16,"{""null"": 5}"
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,5,2026-02-11,2026-02-16,"{""null"": 5}"
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,5,2026-02-11,2026-02-16,"{""null"": 5}"
new,e9n4yq-kokkolan-energia-oy-tyyni,2000,,open_ended,3,2026-07-29,2026-07-31,"{""null"": 3}"
new,e9n4yq-kokkolan-energia-oy-tyyni,5000,,open_ended,3,2026-07-29,2026-07-31,"{""null"": 3}"
new,e9n4yq-kokkolan-energia-oy-tyyni,18000,,open_ended,3,2026-07-29,2026-07-31,"{""null"": 3}"
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,2000,,fixed_term_6,10,2026-03-03,2026-03-12,"{""null"": 10}"
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,5000,,fixed_term_6,10,2026-03-03,2026-03-12,"{""null"": 10}"
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,18000,,fixed_term_6,10,2026-03-03,2026-03-12,"{""null"": 10}"
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,7,2026-03-18,2026-03-24,"{""null"": 7}"
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,7,2026-03-18,2026-03-24,"{""null"": 7}"
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,7,2026-03-18,2026-03-24,"{""null"": 7}"
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2000,,fixed_term_6,30,2026-05-11,2026-06-09,"{""null"": 30}"
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,5000,,fixed_term_6,30,2026-05-11,2026-06-09,"{""null"": 30}"
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,18000,,fixed_term_6,30,2026-05-11,2026-06-09,"{""null"": 30}"
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,2000,,fixed_term_6,32,2026-02-17,2026-03-20,"{""null"": 32}"
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,5000,,fixed_term_6,32,2026-02-17,2026-03-20,"{""null"": 32}"
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,18000,,fixed_term_6,32,2026-02-17,2026-03-20,"{""null"": 32}"
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,2000,,fixed_term_6,3,2026-01-24,2026-01-26,"{""null"": 3}"
