basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
observed_seller_data,common,intersection,lag_14,6,39,39,2026-05-19,2026-06-26,1.1510307692307693,1.252103738022226,-1.1510307692307693,1,4,31,3,36,3,0,1,31,7
observed_seller_data,common,intersection,lag_14,12,39,39,2026-05-19,2026-06-26,0.21923846153846158,0.28694007638511815,-0.08137692307692322,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,lag_14,24,39,39,2026-05-19,2026-06-26,0.17066923076923082,0.25781012740944037,-0.15412051282051317,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,lag_14,all,117,39,2026-05-19,2026-06-26,0.513646153846154,0.7564311909662814,-0.4621760683760685,38,4,72,3,67,40,10,1,109,7
observed_seller_data,common,intersection,lag_21,6,39,39,2026-05-19,2026-06-26,1.1364692307692308,1.2351635705028852,-1.1364692307692308,5,3,28,3,36,3,0,5,28,6
observed_seller_data,common,intersection,lag_21,12,39,39,2026-05-19,2026-06-26,0.2257461538461538,0.282323595478845,-0.07345384615384622,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,lag_21,24,39,39,2026-05-19,2026-06-26,0.17944615384615376,0.25358141766425907,-0.1490564102564104,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,lag_21,all,117,39,2026-05-19,2026-06-26,0.5138871794871794,0.7460203736820583,-0.45299316239316245,42,3,69,3,67,40,10,5,106,6
observed_seller_data,common,intersection,lag_30,6,39,39,2026-05-19,2026-06-26,1.1454076923076923,1.2644174048113004,-1.1454076923076923,4,0,32,3,36,3,0,4,32,3
observed_seller_data,common,intersection,lag_30,12,39,39,2026-05-19,2026-06-26,0.2482153846153846,0.3079800393132396,-0.08180512820512831,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,lag_30,24,39,39,2026-05-19,2026-06-26,0.19233333333333347,0.2682767562587524,-0.1538974358974364,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,lag_30,all,117,39,2026-05-19,2026-06-26,0.5286521367521368,0.7671539385186102,-0.4603700854700857,41,0,73,3,67,40,10,4,110,3
canonical_calculation,native,native_eligible,lag_0,6,19,19,2026-07-27,2026-08-14,1.5432894736842109,1.5712758431488592,-1.5432894736842109,3,2,14,0,19,0,0,3,14,2
canonical_calculation,native,native_eligible,lag_0,12,19,19,2026-07-27,2026-08-14,0.4349421052631577,0.48313347670782353,-0.4349421052631577,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,native_eligible,lag_0,24,19,19,2026-07-27,2026-08-14,0.21768947368421018,0.26554176101341415,-0.21768947368421018,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,lag_0,all,57,19,2026-07-27,2026-08-14,0.7319736842105262,0.96139450078537,-0.7319736842105262,16,2,39,0,44,13,0,3,52,2
canonical_calculation,native,native_eligible,unchanged,6,19,19,2026-07-27,2026-08-14,1.5286,1.5637646353389765,-1.5286,0,0,19,0,19,0,0,0,19,0
canonical_calculation,native,native_eligible,unchanged,12,19,19,2026-07-27,2026-08-14,0.38307368421052584,0.4508696870902296,-0.3827368421052627,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,native_eligible,unchanged,24,19,19,2026-07-27,2026-08-14,0.19615263157894694,0.24989747055437267,-0.19615263157894694,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,unchanged,all,57,19,2026-07-27,2026-08-14,0.7026087719298243,0.9506299762548969,-0.7024964912280699,13,0,44,0,44,13,0,0,57,0
canonical_calculation,native,native_eligible,always_up,6,19,19,2026-07-27,2026-08-14,,,,19,0,0,0,19,0,0,19,0,0
canonical_calculation,native,native_eligible,always_up,12,19,19,2026-07-27,2026-08-14,,,,16,0,0,3,16,3,0,19,0,0
canonical_calculation,native,native_eligible,always_up,24,19,19,2026-07-27,2026-08-14,,,,9,0,0,10,9,10,0,19,0,0
canonical_calculation,native,native_eligible,always_up,all,57,19,2026-07-27,2026-08-14,,,,44,0,0,13,44,13,0,57,0,0
canonical_calculation,native,native_eligible,always_down,6,19,19,2026-07-27,2026-08-14,,,,0,19,0,0,19,0,0,0,0,19
canonical_calculation,native,native_eligible,always_down,12,19,19,2026-07-27,2026-08-14,,,,0,16,0,3,16,3,0,0,0,19
canonical_calculation,native,native_eligible,always_down,24,19,19,2026-07-27,2026-08-14,,,,0,9,0,10,9,10,0,0,0,19
canonical_calculation,native,native_eligible,always_down,all,57,19,2026-07-27,2026-08-14,,,,0,44,0,13,44,13,0,0,0,57
canonical_calculation,native,native_eligible,lag_7,6,19,19,2026-07-27,2026-08-14,1.5031526315789474,1.5292851892305765,-1.5031526315789474,3,0,16,0,19,0,0,3,16,0
canonical_calculation,native,native_eligible,lag_7,12,19,19,2026-07-27,2026-08-14,0.40384736842105234,0.46131615429174605,-0.40340526315789454,3,0,16,0,16,3,0,0,19,0
